LocalTime,Symbol,EventType,Side,FillSize,FillPrice,FillExchange,SymbolBought,SymbolSold,SymbolPosition,SymbolNotional,ExchangeBought,ExchangeSold,TotalBought,TotalSold,TotalBoughtNotional,TotalSoldNotional
9:30:00.000,AES,TRADE,t,100,11.14,NYSE,0,100,-100,1114.0,0,100,0,100,0.0,1114.0
9:30:16.000,AES,TRADE,b,100,11.16,NASDAQ,100,100,0,1116.0,100,0,100,100,1116.0,1114.0
9:31:02.000,CX,TRADE,b,100,7.50,NASDAQ,100,0,100,750.0,200,0,200,100,1866.0,1114.0
9:31:10.000,CX,TRADE,t,100,7.51,NASDAQ,100,100,0,751.0,200,100,200,200,1866.0,1865.0
9:32:04.000,CX,TRADE,b,200,7.50,NASDAQ,300,100,200,1500.0,400,100,400,200,3366.0,1865.0
9:32:33.000,CX,TRADE,t,100,7.50,NASDAQ,300,200,100,750.0,400,200,400,300,3366.0,2615.0
9:33:01.000,CX,TRADE,t,200,7.48,NASDAQ,300,400,-100,1496.0,400,400,400,500,3366.0,4111.0
9:33:30.000,AIG,TRADE,t,100,56.40,NASDAQ,0,100,-100,5640.0,400,500,400,600,3366.0,9751.0
9:33:33.000,AIG,TRADE,t,100,56.39,NYSE,0,200,-200,5639.0,0,200,400,700,3366.0,15390.0
9:33:56.000,AIG,TRADE,b,100,56.38,NASDAQ,100,200,-100,5638.0,500,500,500,700,9004.0,15390.0
9:34:18.000,AIG,TRADE,b,100,56.38,NASDAQ,200,200,0,5638.0,600,500,600,700,14642.0,15390.0
9:34:53.000,AIG,TRADE,t,100,56.40,NASDAQ,200,300,-100,5640.0,600,600,600,800,14642.0,21030.0
9:35:52.000,RPY,TRADE,b,7112,5.75,NYSE,7112,0,7112,40894.0,7112,200,7712,800,55536.0,21030.0
9:36:37.000,RPY,TRADE,b,7112,5.75,NYSE,14224,0,14224,40894.0,14224,200,14824,800,96430.0,21030.0
9:37:31.000,RPY,TRADE,b,78235,5.75,NYSE,92459,0,92459,449851.25,92459,200,93059,800,546281.25,21030.0
9:37:53.000,RPY,TRADE,b,64010,5.75,NASDAQ,156469,0,156469,368057.5,64610,600,157069,800,914338.75,21030.0
9:38:48.000,RPY,TRADE,t,7112,5.76,NASDAQ,156469,7112,149357,40965.119999999995,64610,7712,157069,7912,914338.75,61995.119999999995
9:39:37.000,RPY,TRADE,b,7112,5.76,NYSE,163581,7112,156469,40965.119999999995,99571,200,164181,7912,955303.87,61995.119999999995
9:39:39.000,RPY,TRADE,b,28449,5.76,NYSE,192030,7112,184918,163866.24,128020,200,192630,7912,1119170.1099999999,61995.119999999995
9:40:28.000,RPY,TRADE,b,7112,5.75,NASDAQ,199142,7112,192030,40894.0,71722,7712,199742,7912,1160064.1099999999,61995.119999999995
9:41:24.000,RPY,TRADE,t,78235,5.76,NASDAQ,199142,85347,113795,450633.6,71722,85947,199742,86147,1160064.1099999999,512628.72
9:41:51.000,RPY,TRADE,b,924,5.75,NASDAQ,200066,85347,114719,5313.0,72646,85947,200666,86147,1165377.1099999999,512628.72
9:42:47.000,RPY,TRADE,b,7112,5.75,NYSE,207178,85347,121831,40894.0,135132,200,207778,86147,1206271.1099999999,512628.72
9:43:38.000,RPY,TRADE,b,7112,5.75,NYSE,214290,85347,128943,40894.0,142244,200,214890,86147,1247165.1099999999,512628.72
9:44:11.000,RPY,TRADE,b,78235,5.75,NYSE,292525,85347,207178,449851.25,220479,200,293125,86147,1697016.3599999999,512628.72
9:44:31.000,RPY,TRADE,b,64010,5.75,NASDAQ,356535,85347,271188,368057.5,136656,85947,357135,86147,2065073.8599999999,512628.72
9:44:35.000,RPY,TRADE,t,7112,5.76,NASDAQ,356535,92459,264076,40965.119999999995,136656,93059,357135,93259,2065073.8599999999,553593.84
9:45:26.000,RPY,TRADE,b,7112,5.76,NYSE,363647,92459,271188,40965.119999999995,227591,200,364247,93259,2106038.98,553593.84
9:46:01.000,RPY,TRADE,b,28449,5.76,NYSE,392096,92459,299637,163866.24,256040,200,392696,93259,2269905.2199999997,553593.84
9:46:42.000,RPY,TRADE,b,7112,5.75,NASDAQ,399208,92459,306749,40894.0,143768,93059,399808,93259,2310799.2199999997,553593.84
9:46:54.000,RPY,TRADE,t,78235,5.76,NASDAQ,399208,170694,228514,450633.6,143768,171294,399808,171494,2310799.2199999997,1004227.44
9:47:18.000,RPY,TRADE,b,924,5.75,NASDAQ,400132,170694,229438,5313.0,144692,171294,400732,171494,2316112.2199999997,1004227.44
9:48:17.000,RPY,TRADE,t,7112,5.76,NASDAQ,400132,177806,222326,40965.119999999995,144692,178406,400732,178606,2316112.2199999997,1045192.5599999999
9:48:45.000,RPY,TRADE,t,7112,5.76,NASDAQ,400132,184918,215214,40965.119999999995,144692,185518,400732,185718,2316112.2199999997,1086157.68
9:49:36.000,RPY,TRADE,t,7112,5.76,NASDAQ,400132,192030,208102,40965.119999999995,144692,192630,400732,192830,2316112.2199999997,1127122.7999999998
9:49:41.000,RPY,TRADE,t,14224,5.75,NASDAQ,400132,206254,193878,81788.0,144692,206854,400732,207054,2316112.2199999997,1208910.7999999998
9:50:34.000,RPY,TRADE,s,28449,5.75,NYSE,400132,234703,165429,163581.75,256040,28649,400732,235503,2316112.2199999997,1372492.5499999998
9:51:06.000,RPY,TRADE,t,14224,5.75,NASDAQ,400132,248927,151205,81788.0,144692,221078,400732,249727,2316112.2199999997,1454280.5499999998
9:51:43.000,RPY,TRADE,s,7112,5.75,NASDAQ,400132,256039,144093,40894.0,144692,228190,400732,256839,2316112.2199999997,1495174.5499999998
9:51:52.000,RPY,TRADE,s,7112,5.75,NYSE,400132,263151,136981,40894.0,256040,35761,400732,263951,2316112.2199999997,1536068.5499999998
9:52:18.000,RPY,TRADE,s,14224,5.75,NASDAQ,400132,277375,122757,81788.0,144692,242414,400732,278175,2316112.2199999997,1617856.5499999998
9:53:14.000,RPY,TRADE,t,8036,5.76,NASDAQ,400132,285411,114721,46287.36,144692,250450,400732,286211,2316112.2199999997,1664143.91
9:53:43.000,UGH,TRADE,t,7112,8.03,NASDAQ,0,7112,-7112,57109.35999999999,144692,257562,400732,293323,2316112.2199999997,1721253.27
